title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
Kuhn, Feminism, and Science?	1998	5	Evelyn Fox Keller	1. Evelyn Fox Keller	False	closed	https://openalex.org/W2171170310; https://openalex.org/W1603590763; https://openalex.org/W2355650008; https://openalex.org/W4240762098; https://openalex.org/W114017169; https://openalex.org/W2366083675; https://openalex.org/W2066005781; https://openalex.org/W2231036510; https://openalex.org/W2890483697; https://openalex.org/W3129172297	Feminism; Scholarship; Relation (database); Meaning (existential); Pleasure; Sociology; Theme (computing); Psychoanalysis; Epistemology; Gender studies; Philosophy; Psychology; Law; Political science; Operating system; Neuroscience; Computer science; Database	Feminist Epistemology and Gender Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Gender, Feminism, and Heritage	2012	5	Janet E. Levy	1. Janet E. Levy	False	closed	https://openalex.org/W2350860403; https://openalex.org/W4386094368; https://openalex.org/W2281143236; https://openalex.org/W2021636583; https://openalex.org/W2361266890; https://openalex.org/W4386904487; https://openalex.org/W2370637860; https://openalex.org/W4248416950; https://openalex.org/W2244841446; https://openalex.org/W2202690955	Globalism; Feminism; Gender studies; Cultural heritage; Nationalism; Ethnic group; Feminist theory; Sociology; History; Anthropology; Political science; Archaeology; Politics; Law	Historical and Cultural Archaeology Studies; Cultural Heritage Management and Preservation; Museums and Cultural Heritage	Social Sciences	Social Sciences	Anthropology	en	book-chapter
A Case for Feminism in Programming Language Design	2024	5	Felienne Hermans; Ari Schlesinger	1. Felienne Hermans; 2. Ari Schlesinger	True	green	https://openalex.org/W4391375266; https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W3161492277; https://openalex.org/W1994426242; https://openalex.org/W2379313737	Computer science; Feminism; Programming language; Sociology; Gender studies	Teaching and Learning Programming; Digital Games and Media; Educational Games and Gamification	Physical Sciences	Computer Science	Computer Science Applications	en	article
On Immanence and Indeterminacy: Black Feminism and Settler Colonialism	2021	8	Iyko Day	1. Iyko Day	False	closed	https://openalex.org/W2073381325; https://openalex.org/W4240392721; https://openalex.org/W2799965710; https://openalex.org/W4246308111; https://openalex.org/W2041725878; https://openalex.org/W426366057; https://openalex.org/W659266214; https://openalex.org/W157513; https://openalex.org/W3129728080; https://openalex.org/W2967099668	Immanence; Indeterminacy (philosophy); Feminism; Colonialism; Black feminism; Sociology; Philosophy; Gender studies; Epistemology; History; Archaeology	Race, History, and American Society; Caribbean history, culture, and politics; Asian American and Pacific Histories	Social Sciences	Social Sciences	Sociology and Political Science	en	article
"Feminism in Translation: Margaret Fuller's ""Tasso"""	1990	7	Christina Zwarg	1. Christina Zwarg	False	closed	https://openalex.org/W2748952813; https://openalex.org/W1946080426; https://openalex.org/W3126546027; https://openalex.org/W2362402809; https://openalex.org/W246447256; https://openalex.org/W2044727064; https://openalex.org/W2317596408; https://openalex.org/W3193615524; https://openalex.org/W163049555; https://openalex.org/W1971101126	Feminism; Translation (biology); Art; Literature; Sociology; Art history; Gender studies; Gene; Chemistry; Biochemistry; Messenger RNA	German Literature and Culture Studies; Translation Studies and Practices; Comparative and World Literature	Social Sciences	Arts and Humanities	Literature and Literary Theory	en	article
Female Combatants, Feminism, andJust War	2014	7	Laura Sjoberg	1. Laura Sjoberg	False	closed	https://openalex.org/W2899084033; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Gender studies; Political science; History; Sociology	Gender, Security, and Conflict; Historical and Contemporary Political Dynamics; Communism, Protests, Social Movements	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
POST-FEMINISM AND SPECIALIZED MEDIA: A CONTENT ANALYSIS OF COSMOPOLITAN HEADLINES	2013	6	Oana Crușmac	1. Oana Crușmac	True	green	https://openalex.org/W2806076050; https://openalex.org/W643444784; https://openalex.org/W808919006; https://openalex.org/W2087550043; https://openalex.org/W230457469; https://openalex.org/W232402301; https://openalex.org/W2506212089; https://openalex.org/W2368178429; https://openalex.org/W2611153955; https://openalex.org/W287141702; https://openalex.org/W2596689325; https://openalex.org/W2132878309; https://openalex.org/W2143439227; https://openalex.org/W846047743; https://openalex.org/W3182893317; https://openalex.org/W3199748377; https://openalex.org/W2983094179; https://openalex.org/W2494108980; https://openalex.org/W2279202171; https://openalex.org/W2888917693	Feminism; Postmodernism; Beauty; Gender studies; Contingency; Sociology; Aesthetics; Art; Epistemology; Literature; Philosophy	Gender, Feminism, and Media; Media, Gender, and Advertising; South Asian Cinema and Culture	Social Sciences	Social Sciences	Gender Studies	en	article
The Queer Potential: (Indo-)Caribbean Feminisms and Heteronormativity	2013	8	Lauren Pragg	1. Lauren Pragg	False	closed	https://openalex.org/W2558673857; https://openalex.org/W2519878810; https://openalex.org/W2786138319; https://openalex.org/W3023345791; https://openalex.org/W1998749702; https://openalex.org/W3029513674; https://openalex.org/W2561252254; https://openalex.org/W2463829380; https://openalex.org/W2074903868; https://openalex.org/W2744994122; https://openalex.org/W1513802128; https://openalex.org/W2067344190; https://openalex.org/W2002624189; https://openalex.org/W2953731910; https://openalex.org/W1604976754; https://openalex.org/W2793721064; https://openalex.org/W2906729323; https://openalex.org/W636901492; https://openalex.org/W2611045643; https://openalex.org/W2165446973	Queer; Scholarship; Gender studies; Heteronormativity; Colonialism; Human sexuality; Indo-Pacific; Intersection (aeronautics); Caribbean region; Sociology; Race (biology); Ethnology; Political science; Geography; Latin Americans; Law; Cartography; Ecology; Biology	Caribbean history, culture, and politics; Race, History, and American Society; Postcolonial and Cultural Literary Studies	Social Sciences	Social Sciences	Cultural Studies	en	article
Liberal Feminism and Academic Feminism	1994	3	Robert Almeder	1. Robert Almeder	False	closed	https://openalex.org/W2777770081; https://openalex.org/W804080045; https://openalex.org/W3141688737; https://openalex.org/W2493516465; https://openalex.org/W178658333; https://openalex.org/W2020401301; https://openalex.org/W2493831497; https://openalex.org/W630647205; https://openalex.org/W1946733786; https://openalex.org/W1521061567; https://openalex.org/W2804716676; https://openalex.org/W2016684903; https://openalex.org/W3014805768; https://openalex.org/W2323588423; https://openalex.org/W3027617667; https://openalex.org/W2287134148; https://openalex.org/W2518682630; https://openalex.org/W2014938611; https://openalex.org/W2915260386; https://openalex.org/W2586139158	Feminism; Sociology; Gender studies	Gender Diversity and Inequality	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and Geography: The Limits of Geographical Knowledge	1995	7	Briavel Holcomb; Gillian Rose; Jo Little	1. Briavel Holcomb; 2. Gillian Rose; 3. Jo Little	False	closed	https://openalex.org/W2899084033; https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W2612871816	Feminism; Geography; Human geography; Economic geography; Sociology; Gender studies	Historical Geography and Geographical Thought; Geography Education and Pedagogy	Social Sciences	Social Sciences	Geography, Planning and Development	en	article
Feminism and children's rights	2000	5	Hilary Lim; Jeremy Roche	1. Hilary Lim; 2. Jeremy Roche	False	closed	https://openalex.org/W1606589694; https://openalex.org/W607660494; https://openalex.org/W2012974107; https://openalex.org/W2032103449; https://openalex.org/W112639058; https://openalex.org/W1603423860; https://openalex.org/W2007398188; https://openalex.org/W3129939627; https://openalex.org/W2348323645; https://openalex.org/W2672861289; https://openalex.org/W2149568175; https://openalex.org/W2582375533; https://openalex.org/W2554711667; https://openalex.org/W3013080121; https://openalex.org/W3211517139; https://openalex.org/W2730598222; https://openalex.org/W2613396767; https://openalex.org/W2298108319; https://openalex.org/W2298555546; https://openalex.org/W2969247438	Feminism; Gender studies; Political science; Sociology	International Human Rights and Reproductive Law; Poverty, Education, and Child Welfare; Gender Politics and Representation	Social Sciences	Social Sciences	Political Science and International Relations	en	book-chapter
Feminism and environmental justice	2017	5	Greta Gaard	1. Greta Gaard	False	closed	https://openalex.org/W2913657930; https://openalex.org/W1993872910; https://openalex.org/W2067857341; https://openalex.org/W2917189306; https://openalex.org/W615643231; https://openalex.org/W235903073; https://openalex.org/W3089136150; https://openalex.org/W628021493; https://openalex.org/W2053741797; https://openalex.org/W2145355372; https://openalex.org/W1535298266; https://openalex.org/W6557180; https://openalex.org/W2016855850; https://openalex.org/W2003870349; https://openalex.org/W2981627579; https://openalex.org/W2051271530; https://openalex.org/W2330333075; https://openalex.org/W1532589281; https://openalex.org/W629847549; https://openalex.org/W47827360	Feminism; Reproductive justice; Sanitation; Environmental justice; Gender studies; Social movement; Human sexuality; Environmentalism; Reproductive health; Economic Justice; Political science; Feminist movement; Sociology; Settlement (finance); Environmental movement; Politics; Abortion; Law; Population; Medicine; Payment; Genetics; Computer science; Biology; Pregnancy; Demography; World Wide Web; Pathology	Environmental Justice and Health Disparities; Feminist Theory and Gender Studies; Religion, Ecology, and Ethics	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Feminism, Therapeutic Culture, and the Holocaust in the United States: The Second-Generation Phenomenon	2009	12	Stein	1. Stein	False	closed	https://openalex.org/W4387404794; https://openalex.org/W2380479582; https://openalex.org/W4387405288; https://openalex.org/W4387404506; https://openalex.org/W2067169945; https://openalex.org/W4387405632; https://openalex.org/W162955351; https://openalex.org/W2368350589; https://openalex.org/W2888765572; https://openalex.org/W2735748156	The Holocaust; Identity (music); Silence; Introspection; Phenomenon; Gender studies; Sociology; Storytelling; Consciousness; Feminism; Collective unconscious; Collective identity; Politics; Ethnography; Psychoanalysis; Psychology; Political science; Aesthetics; Law; Narrative; Anthropology; Epistemology; Literature; Art; Philosophy; Cognitive psychology; Neuroscience	Memory, Trauma, and Commemoration; Oral History, Memory, Narrative Analysis; German History and Society	Social Sciences	Psychology	Social Psychology	en	article
Feminism(s) and Oppression: Rethinking Gender from a Yoruba Perspective	2017	7	Olayinka Oyeleye	1. Olayinka Oyeleye	False	closed	https://openalex.org/W2914297435; https://openalex.org/W2280535443; https://openalex.org/W4234711464; https://openalex.org/W655894608; https://openalex.org/W2898723640; https://openalex.org/W145260467; https://openalex.org/W2486562376; https://openalex.org/W2003691531; https://openalex.org/W2794011897; https://openalex.org/W2768120513	Oppression; Gender studies; Femininity; Yoruba; Feminism; Sociology; Subordination (linguistics); Perspective (graphical); Masculinity; Gender relations; Dominance (genetics); Political science; Politics; Art; Philosophy; Law; Visual arts; Chemistry; Biochemistry; Linguistics; Gene	Feminism, Gender, and Sexuality Studies; Foucault, Power, and Ethics; Postcolonial and Cultural Literary Studies	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
